# Assembly name:  ASM2365342v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C4S4_CHKB13
# Taxid:          562
# BioSample:      SAMN23235417
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2022-06-06
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAJMNK01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_023653425.1
# RefSeq assembly accession: GCF_023653425.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023653445.1	GCF_023653445.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C4_scaffold_390	assembled-molecule	pIncFIA	Plasmid	JAJMNK010000391.1	=	NZ_JAJMNK010000391.1	Primary Assembly	15811	na
BCSIR_EC_C4_scaffold_356	assembled-molecule	pIncFII	Plasmid	JAJMNK010000357.1	=	NZ_JAJMNK010000357.1	Primary Assembly	1588	na
BCSIR_EC_C4_scaffold_83	assembled-molecule	pIncFII_second	Plasmid	JAJMNK010000084.1	=	NZ_JAJMNK010000084.1	Primary Assembly	4022	na
BCSIR_EC_C4_scaffold_403	assembled-molecule	pCol156	Plasmid	JAJMNK010000404.1	=	NZ_JAJMNK010000404.1	Primary Assembly	11035	na
BCSIR_EC_C4_scaffold_275	assembled-molecule	pIncFIB_AP001918	Plasmid	JAJMNK010000276.1	=	NZ_JAJMNK010000276.1	Primary Assembly	11198	na
BCSIR_EC_C4_scaffold_0	unplaced-scaffold	na	na	JAJMNK010000001.1	=	NZ_JAJMNK010000001.1	Primary Assembly	216	na
BCSIR_EC_C4_scaffold_1	unplaced-scaffold	na	na	JAJMNK010000002.1	=	NZ_JAJMNK010000002.1	Primary Assembly	385	na
BCSIR_EC_C4_scaffold_10	unplaced-scaffold	na	na	JAJMNK010000011.1	=	NZ_JAJMNK010000011.1	Primary Assembly	421	na
BCSIR_EC_C4_scaffold_100	unplaced-scaffold	na	na	JAJMNK010000101.1	=	NZ_JAJMNK010000101.1	Primary Assembly	929	na
BCSIR_EC_C4_scaffold_101	unplaced-scaffold	na	na	JAJMNK010000102.1	=	NZ_JAJMNK010000102.1	Primary Assembly	306	na
