# Assembly name:  ASM2365341v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C8S8_BH2
# Taxid:          562
# BioSample:      SAMN23235424
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2022-06-06
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAJMNL01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_023653415.1
# RefSeq assembly accession: GCF_023653415.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023653435.1	GCF_023653435.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C8_scaffold_0	unplaced-scaffold	na	na	JAJMNL010000001.1	=	NZ_JAJMNL010000001.1	Primary Assembly	380	na
BCSIR_EC_C8_scaffold_1	unplaced-scaffold	na	na	JAJMNL010000002.1	=	NZ_JAJMNL010000002.1	Primary Assembly	416	na
BCSIR_EC_C8_scaffold_10	unplaced-scaffold	na	na	JAJMNL010000011.1	=	NZ_JAJMNL010000011.1	Primary Assembly	1345	na
BCSIR_EC_C8_scaffold_100	unplaced-scaffold	na	na	JAJMNL010000101.1	=	NZ_JAJMNL010000101.1	Primary Assembly	212	na
BCSIR_EC_C8_scaffold_101	unplaced-scaffold	na	na	JAJMNL010000102.1	=	NZ_JAJMNL010000102.1	Primary Assembly	26344	na
BCSIR_EC_C8_scaffold_102	unplaced-scaffold	na	na	JAJMNL010000103.1	=	NZ_JAJMNL010000103.1	Primary Assembly	135998	na
BCSIR_EC_C8_scaffold_103	unplaced-scaffold	na	na	JAJMNL010000104.1	=	NZ_JAJMNL010000104.1	Primary Assembly	123191	na
BCSIR_EC_C8_scaffold_104	unplaced-scaffold	na	na	JAJMNL010000105.1	=	NZ_JAJMNL010000105.1	Primary Assembly	150115	na
BCSIR_EC_C8_scaffold_105	unplaced-scaffold	na	na	JAJMNL010000106.1	=	NZ_JAJMNL010000106.1	Primary Assembly	104977	na
BCSIR_EC_C8_scaffold_106	unplaced-scaffold	na	na	JAJMNL010000107.1	=	NZ_JAJMNL010000107.1	Primary Assembly	398	na
BCSIR_EC_C8_scaffold_107	unplaced-scaffold	na	na	JAJMNL010000108.1	=	NZ_JAJMNL010000108.1	Primary Assembly	988	na
BCSIR_EC_C8_scaffold_108	unplaced-scaffold	na	na	JAJMNL010000109.1	=	NZ_JAJMNL010000109.1	Primary Assembly	30992	na
BCSIR_EC_C8_scaffold_109	unplaced-scaffold	na	na	JAJMNL010000110.1	=	NZ_JAJMNL010000110.1	Primary Assembly	224	na
BCSIR_EC_C8_scaffold_11	unplaced-scaffold	na	na	JAJMNL010000012.1	=	NZ_JAJMNL010000012.1	Primary Assembly	523	na
BCSIR_EC_C8_scaffold_110	unplaced-scaffold	na	na	JAJMNL010000111.1	=	NZ_JAJMNL010000111.1	Primary Assembly	183095	na
BCSIR_EC_C8_scaffold_111	unplaced-scaffold	na	na	JAJMNL010000112.1	=	NZ_JAJMNL010000112.1	Primary Assembly	442	na
BCSIR_EC_C8_scaffold_112	unplaced-scaffold	na	na	JAJMNL010000113.1	=	NZ_JAJMNL010000113.1	Primary Assembly	57645	na
BCSIR_EC_C8_scaffold_113	unplaced-scaffold	na	na	JAJMNL010000114.1	=	NZ_JAJMNL010000114.1	Primary Assembly	34903	na
BCSIR_EC_C8_scaffold_114	unplaced-scaffold	na	na	JAJMNL010000115.1	=	NZ_JAJMNL010000115.1	Primary Assembly	195387	na
BCSIR_EC_C8_scaffold_115	unplaced-scaffold	na	na	JAJMNL010000116.1	=	NZ_JAJMNL010000116.1	Primary Assembly	315	na
BCSIR_EC_C8_scaffold_116	unplaced-scaffold	na	na	JAJMNL010000117.1	=	NZ_JAJMNL010000117.1	Primary Assembly	272611	na
BCSIR_EC_C8_scaffold_117	unplaced-scaffold	na	na	JAJMNL010000118.1	=	NZ_JAJMNL010000118.1	Primary Assembly	36774	na
BCSIR_EC_C8_scaffold_118	unplaced-scaffold	na	na	JAJMNL010000119.1	=	NZ_JAJMNL010000119.1	Primary Assembly	1723	na
BCSIR_EC_C8_scaffold_119	unplaced-scaffold	na	na	JAJMNL010000120.1	=	NZ_JAJMNL010000120.1	Primary Assembly	315865	na
BCSIR_EC_C8_scaffold_12	unplaced-scaffold	na	na	JAJMNL010000013.1	=	NZ_JAJMNL010000013.1	Primary Assembly	394	na
BCSIR_EC_C8_scaffold_120	unplaced-scaffold	na	na	JAJMNL010000121.1	=	NZ_JAJMNL010000121.1	Primary Assembly	213441	na
BCSIR_EC_C8_scaffold_121	unplaced-scaffold	na	na	JAJMNL010000122.1	=	NZ_JAJMNL010000122.1	Primary Assembly	56008	na
BCSIR_EC_C8_scaffold_122	unplaced-scaffold	na	na	JAJMNL010000123.1	=	NZ_JAJMNL010000123.1	Primary Assembly	177770	na
BCSIR_EC_C8_scaffold_123	unplaced-scaffold	na	na	JAJMNL010000124.1	=	NZ_JAJMNL010000124.1	Primary Assembly	33512	na
BCSIR_EC_C8_scaffold_124	unplaced-scaffold	na	na	JAJMNL010000125.1	=	NZ_JAJMNL010000125.1	Primary Assembly	414	na
BCSIR_EC_C8_scaffold_125	unplaced-scaffold	na	na	JAJMNL010000126.1	=	NZ_JAJMNL010000126.1	Primary Assembly	99108	na
BCSIR_EC_C8_scaffold_126	unplaced-scaffold	na	na	JAJMNL010000127.1	=	NZ_JAJMNL010000127.1	Primary Assembly	384330	na
BCSIR_EC_C8_scaffold_127	unplaced-scaffold	na	na	JAJMNL010000128.1	=	NZ_JAJMNL010000128.1	Primary Assembly	3755	na
BCSIR_EC_C8_scaffold_128	unplaced-scaffold	na	na	JAJMNL010000129.1	=	NZ_JAJMNL010000129.1	Primary Assembly	193480	na
BCSIR_EC_C8_scaffold_129	unplaced-scaffold	na	na	JAJMNL010000130.1	=	NZ_JAJMNL010000130.1	Primary Assembly	133572	na
BCSIR_EC_C8_scaffold_13	unplaced-scaffold	na	na	JAJMNL010000014.1	=	NZ_JAJMNL010000014.1	Primary Assembly	533	na
BCSIR_EC_C8_scaffold_130	unplaced-scaffold	na	na	JAJMNL010000131.1	=	NZ_JAJMNL010000131.1	Primary Assembly	563847	na
BCSIR_EC_C8_scaffold_14	unplaced-scaffold	na	na	JAJMNL010000015.1	=	NZ_JAJMNL010000015.1	Primary Assembly	234	na
BCSIR_EC_C8_scaffold_15	unplaced-scaffold	na	na	JAJMNL010000016.1	=	NZ_JAJMNL010000016.1	Primary Assembly	283	na
BCSIR_EC_C8_scaffold_16	unplaced-scaffold	na	na	JAJMNL010000017.1	=	NZ_JAJMNL010000017.1	Primary Assembly	1515	na
BCSIR_EC_C8_scaffold_17	unplaced-scaffold	na	na	JAJMNL010000018.1	=	NZ_JAJMNL010000018.1	Primary Assembly	956	na
BCSIR_EC_C8_scaffold_18	unplaced-scaffold	na	na	JAJMNL010000019.1	=	NZ_JAJMNL010000019.1	Primary Assembly	355	na
BCSIR_EC_C8_scaffold_19	unplaced-scaffold	na	na	JAJMNL010000020.1	=	NZ_JAJMNL010000020.1	Primary Assembly	281	na
BCSIR_EC_C8_scaffold_2	unplaced-scaffold	na	na	JAJMNL010000003.1	=	NZ_JAJMNL010000003.1	Primary Assembly	1181	na
BCSIR_EC_C8_scaffold_20	unplaced-scaffold	na	na	JAJMNL010000021.1	=	NZ_JAJMNL010000021.1	Primary Assembly	222	na
BCSIR_EC_C8_scaffold_21	unplaced-scaffold	na	na	JAJMNL010000022.1	=	NZ_JAJMNL010000022.1	Primary Assembly	1739	na
BCSIR_EC_C8_scaffold_22	unplaced-scaffold	na	na	JAJMNL010000023.1	=	NZ_JAJMNL010000023.1	Primary Assembly	278	na
BCSIR_EC_C8_scaffold_23	unplaced-scaffold	na	na	JAJMNL010000024.1	=	NZ_JAJMNL010000024.1	Primary Assembly	3682	na
BCSIR_EC_C8_scaffold_24	unplaced-scaffold	na	na	JAJMNL010000025.1	=	NZ_JAJMNL010000025.1	Primary Assembly	1100	na
BCSIR_EC_C8_scaffold_25	unplaced-scaffold	na	na	JAJMNL010000026.1	=	NZ_JAJMNL010000026.1	Primary Assembly	257	na
BCSIR_EC_C8_scaffold_26	unplaced-scaffold	na	na	JAJMNL010000027.1	=	NZ_JAJMNL010000027.1	Primary Assembly	311	na
BCSIR_EC_C8_scaffold_27	unplaced-scaffold	na	na	JAJMNL010000028.1	=	NZ_JAJMNL010000028.1	Primary Assembly	282	na
BCSIR_EC_C8_scaffold_28	unplaced-scaffold	na	na	JAJMNL010000029.1	=	NZ_JAJMNL010000029.1	Primary Assembly	1584	na
BCSIR_EC_C8_scaffold_29	unplaced-scaffold	na	na	JAJMNL010000030.1	=	NZ_JAJMNL010000030.1	Primary Assembly	270	na
BCSIR_EC_C8_scaffold_3	unplaced-scaffold	na	na	JAJMNL010000004.1	=	NZ_JAJMNL010000004.1	Primary Assembly	600	na
BCSIR_EC_C8_scaffold_30	unplaced-scaffold	na	na	JAJMNL010000031.1	=	NZ_JAJMNL010000031.1	Primary Assembly	425	na
BCSIR_EC_C8_scaffold_31	unplaced-scaffold	na	na	JAJMNL010000032.1	=	NZ_JAJMNL010000032.1	Primary Assembly	495	na
BCSIR_EC_C8_scaffold_32	unplaced-scaffold	na	na	JAJMNL010000033.1	=	NZ_JAJMNL010000033.1	Primary Assembly	335	na
BCSIR_EC_C8_scaffold_33	unplaced-scaffold	na	na	JAJMNL010000034.1	=	NZ_JAJMNL010000034.1	Primary Assembly	342	na
