# Assembly name:  ASM2041840v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C15S15_CMSHL3
# Taxid:          562
# BioSample:      SAMN20931203
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAIZPQ01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_020418405.1
# RefSeq assembly accession: GCF_020418405.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020418415.1	GCF_020418415.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C15_scaffold_181	assembled-molecule	pCol-IRGK	Plasmid	JAIZPQ010000182.1	=	NZ_JAIZPQ010000182.1	Primary Assembly	2492	na
BCSIR_EC_C15_scaffold_95	assembled-molecule	pIncFII	Plasmid	JAIZPQ010000096.1	=	NZ_JAIZPQ010000096.1	Primary Assembly	14014	na
BCSIR_EC_C15_scaffold_0	unplaced-scaffold	na	na	JAIZPQ010000001.1	=	NZ_JAIZPQ010000001.1	Primary Assembly	451	na
BCSIR_EC_C15_scaffold_1	unplaced-scaffold	na	na	JAIZPQ010000002.1	=	NZ_JAIZPQ010000002.1	Primary Assembly	332	na
BCSIR_EC_C15_scaffold_10	unplaced-scaffold	na	na	JAIZPQ010000011.1	=	NZ_JAIZPQ010000011.1	Primary Assembly	1572	na
BCSIR_EC_C15_scaffold_100	unplaced-scaffold	na	na	JAIZPQ010000101.1	=	NZ_JAIZPQ010000101.1	Primary Assembly	25087	na
BCSIR_EC_C15_scaffold_101	unplaced-scaffold	na	na	JAIZPQ010000102.1	=	NZ_JAIZPQ010000102.1	Primary Assembly	21127	na
BCSIR_EC_C15_scaffold_102	unplaced-scaffold	na	na	JAIZPQ010000103.1	=	NZ_JAIZPQ010000103.1	Primary Assembly	282	na
BCSIR_EC_C15_scaffold_103	unplaced-scaffold	na	na	JAIZPQ010000104.1	=	NZ_JAIZPQ010000104.1	Primary Assembly	14188	na
BCSIR_EC_C15_scaffold_104	unplaced-scaffold	na	na	JAIZPQ010000105.1	=	NZ_JAIZPQ010000105.1	Primary Assembly	1004	na
