# Assembly Statistics Report
# Assembly name:  ASM2365342v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C4S4_CHKB13
# Taxid:          562
# BioSample:      SAMN23235417
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2022-06-06
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAJMNK01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_023653425.1
# RefSeq assembly accession: GCF_023653425.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023653445.1	GCF_023653445.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	5083025
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	475
all	all	all	all	contig-N50	173838
all	all	all	all	contig-L50	11
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	5
all	all	all	all	top-level-count	475
all	all	all	all	component-count	475
all	all	all	all	gc-perc	50.5
Primary Assembly	all	all	all	total-length	5083025
Primary Assembly	all	all	all	ungapped-length	5083025
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	50.5
Primary Assembly	all	all	assembled-molecule	total-length	43654
Primary Assembly	all	all	assembled-molecule	ungapped-length	43654
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	48.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	5039371
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	5039371
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50.5
Primary Assembly	pIncFIA	Plasmid	all	total-length	15811
Primary Assembly	pIncFIA	Plasmid	all	ungapped-length	15811
Primary Assembly	pIncFIA	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	all	gc-perc	52.5
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	total-length	15811
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	ungapped-length	15811
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	gc-perc	52.5
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncFII	Plasmid	all	total-length	1588
Primary Assembly	pIncFII	Plasmid	all	ungapped-length	1588
Primary Assembly	pIncFII	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFII	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFII	Plasmid	all	gc-perc	46
Primary Assembly	pIncFII	Plasmid	assembled-molecule	total-length	1588
Primary Assembly	pIncFII	Plasmid	assembled-molecule	ungapped-length	1588
Primary Assembly	pIncFII	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFII	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFII	Plasmid	assembled-molecule	gc-perc	46
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncFII_second	Plasmid	all	total-length	4022
Primary Assembly	pIncFII_second	Plasmid	all	ungapped-length	4022
Primary Assembly	pIncFII_second	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFII_second	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFII_second	Plasmid	all	gc-perc	47.5
Primary Assembly	pIncFII_second	Plasmid	assembled-molecule	total-length	4022
Primary Assembly	pIncFII_second	Plasmid	assembled-molecule	ungapped-length	4022
Primary Assembly	pIncFII_second	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFII_second	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFII_second	Plasmid	assembled-molecule	gc-perc	47.5
Primary Assembly	pIncFII_second	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFII_second	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFII_second	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFII_second	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pCol156	Plasmid	all	total-length	11035
Primary Assembly	pCol156	Plasmid	all	ungapped-length	11035
Primary Assembly	pCol156	Plasmid	all	spanned-gaps	0
Primary Assembly	pCol156	Plasmid	all	unspanned-gaps	0
Primary Assembly	pCol156	Plasmid	all	gc-perc	47
