# Assembly name:  ASM2041832v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C9S9_CMC13
# Taxid:          562
# BioSample:      SAMN20931199
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAIZPM01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_020418325.1
# RefSeq assembly accession: GCF_020418325.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020418335.1	GCF_020418335.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C9_scaffold_0	unplaced-scaffold	na	na	JAIZPM010000001.1	=	NZ_JAIZPM010000001.1	Primary Assembly	1382	na
BCSIR_EC_C9_scaffold_1	unplaced-scaffold	na	na	JAIZPM010000002.1	=	NZ_JAIZPM010000002.1	Primary Assembly	1409	na
BCSIR_EC_C9_scaffold_10	unplaced-scaffold	na	na	JAIZPM010000011.1	=	NZ_JAIZPM010000011.1	Primary Assembly	309	na
BCSIR_EC_C9_scaffold_11	unplaced-scaffold	na	na	JAIZPM010000012.1	=	NZ_JAIZPM010000012.1	Primary Assembly	301	na
BCSIR_EC_C9_scaffold_12	unplaced-scaffold	na	na	JAIZPM010000013.1	=	NZ_JAIZPM010000013.1	Primary Assembly	227	na
BCSIR_EC_C9_scaffold_13	unplaced-scaffold	na	na	JAIZPM010000014.1	=	NZ_JAIZPM010000014.1	Primary Assembly	281	na
BCSIR_EC_C9_scaffold_14	unplaced-scaffold	na	na	JAIZPM010000015.1	=	NZ_JAIZPM010000015.1	Primary Assembly	5064	na
BCSIR_EC_C9_scaffold_15	unplaced-scaffold	na	na	JAIZPM010000016.1	=	NZ_JAIZPM010000016.1	Primary Assembly	1702	na
BCSIR_EC_C9_scaffold_16	unplaced-scaffold	na	na	JAIZPM010000017.1	=	NZ_JAIZPM010000017.1	Primary Assembly	1764	na
BCSIR_EC_C9_scaffold_17	unplaced-scaffold	na	na	JAIZPM010000018.1	=	NZ_JAIZPM010000018.1	Primary Assembly	771	na
BCSIR_EC_C9_scaffold_18	unplaced-scaffold	na	na	JAIZPM010000019.1	=	NZ_JAIZPM010000019.1	Primary Assembly	1539	na
BCSIR_EC_C9_scaffold_19	unplaced-scaffold	na	na	JAIZPM010000020.1	=	NZ_JAIZPM010000020.1	Primary Assembly	204	na
BCSIR_EC_C9_scaffold_2	unplaced-scaffold	na	na	JAIZPM010000003.1	=	NZ_JAIZPM010000003.1	Primary Assembly	251	na
BCSIR_EC_C9_scaffold_20	unplaced-scaffold	na	na	JAIZPM010000021.1	=	NZ_JAIZPM010000021.1	Primary Assembly	345	na
BCSIR_EC_C9_scaffold_21	unplaced-scaffold	na	na	JAIZPM010000022.1	=	NZ_JAIZPM010000022.1	Primary Assembly	340	na
BCSIR_EC_C9_scaffold_22	unplaced-scaffold	na	na	JAIZPM010000023.1	=	NZ_JAIZPM010000023.1	Primary Assembly	392	na
BCSIR_EC_C9_scaffold_23	unplaced-scaffold	na	na	JAIZPM010000024.1	=	NZ_JAIZPM010000024.1	Primary Assembly	253	na
BCSIR_EC_C9_scaffold_24	unplaced-scaffold	na	na	JAIZPM010000025.1	=	NZ_JAIZPM010000025.1	Primary Assembly	407	na
BCSIR_EC_C9_scaffold_25	unplaced-scaffold	na	na	JAIZPM010000026.1	=	NZ_JAIZPM010000026.1	Primary Assembly	303	na
BCSIR_EC_C9_scaffold_26	unplaced-scaffold	na	na	JAIZPM010000027.1	=	NZ_JAIZPM010000027.1	Primary Assembly	2003	na
BCSIR_EC_C9_scaffold_27	unplaced-scaffold	na	na	JAIZPM010000028.1	=	NZ_JAIZPM010000028.1	Primary Assembly	2940	na
BCSIR_EC_C9_scaffold_28	unplaced-scaffold	na	na	JAIZPM010000029.1	=	NZ_JAIZPM010000029.1	Primary Assembly	272	na
BCSIR_EC_C9_scaffold_29	unplaced-scaffold	na	na	JAIZPM010000030.1	=	NZ_JAIZPM010000030.1	Primary Assembly	1894	na
