# Assembly name:  ASM2131169v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C3S3_P4
# Taxid:          562
# BioSample:      SAMN20931195
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-12-28
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAJPGN01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_021311695.1
# RefSeq assembly accession: GCF_021311695.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_021311705.1	GCF_021311705.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C3_scaffold_125	assembled-molecule	p0111	Plasmid	JAJPGN010000126.1	=	NZ_JAJPGN010000126.1	Primary Assembly	12064	na
BCSIR_EC_C3_scaffold_0	unplaced-scaffold	na	na	JAJPGN010000001.1	=	NZ_JAJPGN010000001.1	Primary Assembly	341	na
BCSIR_EC_C3_scaffold_1	unplaced-scaffold	na	na	JAJPGN010000002.1	=	NZ_JAJPGN010000002.1	Primary Assembly	490	na
BCSIR_EC_C3_scaffold_10	unplaced-scaffold	na	na	JAJPGN010000011.1	=	NZ_JAJPGN010000011.1	Primary Assembly	223	na
BCSIR_EC_C3_scaffold_100	unplaced-scaffold	na	na	JAJPGN010000101.1	=	NZ_JAJPGN010000101.1	Primary Assembly	337	na
BCSIR_EC_C3_scaffold_101	unplaced-scaffold	na	na	JAJPGN010000102.1	=	NZ_JAJPGN010000102.1	Primary Assembly	457	na
BCSIR_EC_C3_scaffold_102	unplaced-scaffold	na	na	JAJPGN010000103.1	=	NZ_JAJPGN010000103.1	Primary Assembly	977	na
BCSIR_EC_C3_scaffold_103	unplaced-scaffold	na	na	JAJPGN010000104.1	=	NZ_JAJPGN010000104.1	Primary Assembly	466	na
BCSIR_EC_C3_scaffold_104	unplaced-scaffold	na	na	JAJPGN010000105.1	=	NZ_JAJPGN010000105.1	Primary Assembly	425	na
BCSIR_EC_C3_scaffold_105	unplaced-scaffold	na	na	JAJPGN010000106.1	=	NZ_JAJPGN010000106.1	Primary Assembly	308	na
