# Assembly name:  ASM2380535v1
# Organism name:  Klebsiella quasipneumoniae (enterobacteria)
# Infraspecific name:  strain=C11S11_BCSIR
# Taxid:          1463165
# BioSample:      SAMN28860376
# BioProject:     PRJNA845367
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2022-06-18
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAMSHK01
# Assembly method: SPAdes v. 3.14.1
# Expected final version: yes
# Genome coverage: 54x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_023805355.1
# RefSeq assembly accession: GCF_023805355.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023805365.1	GCF_023805365.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
49_length_13710_depth_0.53x	assembled-molecule	IncFII-K	Plasmid	JAMSHK010000049.1	=	NZ_JAMSHK010000049.1	Primary Assembly	13710	na
56_length_8508_depth_0.62x	assembled-molecule	IncFIB-K-pCAV1099-1	Plasmid	JAMSHK010000056.1	=	NZ_JAMSHK010000056.1	Primary Assembly	8508	na
10_length_203219_depth_0.98x	unplaced-scaffold	na	na	JAMSHK010000010.1	=	NZ_JAMSHK010000010.1	Primary Assembly	203219	na
11_length_198177_depth_1.02x	unplaced-scaffold	na	na	JAMSHK010000011.1	=	NZ_JAMSHK010000011.1	Primary Assembly	198177	na
12_length_196861_depth_0.93x	unplaced-scaffold	na	na	JAMSHK010000012.1	=	NZ_JAMSHK010000012.1	Primary Assembly	196861	na
13_length_162735_depth_0.91x	unplaced-scaffold	na	na	JAMSHK010000013.1	=	NZ_JAMSHK010000013.1	Primary Assembly	162735	na
14_length_152091_depth_0.91x	unplaced-scaffold	na	na	JAMSHK010000014.1	=	NZ_JAMSHK010000014.1	Primary Assembly	152091	na
15_length_144156_depth_0.96x	unplaced-scaffold	na	na	JAMSHK010000015.1	=	NZ_JAMSHK010000015.1	Primary Assembly	144156	na
16_length_144125_depth_1.01x	unplaced-scaffold	na	na	JAMSHK010000016.1	=	NZ_JAMSHK010000016.1	Primary Assembly	144125	na
17_length_117811_depth_0.93x	unplaced-scaffold	na	na	JAMSHK010000017.1	=	NZ_JAMSHK010000017.1	Primary Assembly	117811	na
18_length_113117_depth_0.41x_circular_true	unplaced-scaffold	na	na	JAMSHK010000018.1	=	NZ_JAMSHK010000018.1	Primary Assembly	113117	na
19_length_101501_depth_1.05x	unplaced-scaffold	na	na	JAMSHK010000019.1	=	NZ_JAMSHK010000019.1	Primary Assembly	101501	na
1_length_324584_depth_1.06x	unplaced-scaffold	na	na	JAMSHK010000001.1	=	NZ_JAMSHK010000001.1	Primary Assembly	324584	na
20_length_95345_depth_0.89x	unplaced-scaffold	na	na	JAMSHK010000020.1	=	NZ_JAMSHK010000020.1	Primary Assembly	95345	na
21_length_94732_depth_1.02x	unplaced-scaffold	na	na	JAMSHK010000021.1	=	NZ_JAMSHK010000021.1	Primary Assembly	94732	na
22_length_93682_depth_1.04x	unplaced-scaffold	na	na	JAMSHK010000022.1	=	NZ_JAMSHK010000022.1	Primary Assembly	93682	na
23_length_91421_depth_1.05x	unplaced-scaffold	na	na	JAMSHK010000023.1	=	NZ_JAMSHK010000023.1	Primary Assembly	91421	na
24_length_89151_depth_0.92x	unplaced-scaffold	na	na	JAMSHK010000024.1	=	NZ_JAMSHK010000024.1	Primary Assembly	89151	na
25_length_83569_depth_1.05x	unplaced-scaffold	na	na	JAMSHK010000025.1	=	NZ_JAMSHK010000025.1	Primary Assembly	83569	na
26_length_81568_depth_1.04x	unplaced-scaffold	na	na	JAMSHK010000026.1	=	NZ_JAMSHK010000026.1	Primary Assembly	81568	na
27_length_79185_depth_1.01x	unplaced-scaffold	na	na	JAMSHK010000027.1	=	NZ_JAMSHK010000027.1	Primary Assembly	79185	na
28_length_57568_depth_0.89x	unplaced-scaffold	na	na	JAMSHK010000028.1	=	NZ_JAMSHK010000028.1	Primary Assembly	57568	na
29_length_42320_depth_1.06x	unplaced-scaffold	na	na	JAMSHK010000029.1	=	NZ_JAMSHK010000029.1	Primary Assembly	42320	na
2_length_322397_depth_0.93x	unplaced-scaffold	na	na	JAMSHK010000002.1	=	NZ_JAMSHK010000002.1	Primary Assembly	322397	na
30_length_40064_depth_1.01x	unplaced-scaffold	na	na	JAMSHK010000030.1	=	NZ_JAMSHK010000030.1	Primary Assembly	40064	na
31_length_37053_depth_0.56x	unplaced-scaffold	na	na	JAMSHK010000031.1	=	NZ_JAMSHK010000031.1	Primary Assembly	37053	na
32_length_34693_depth_0.64x	unplaced-scaffold	na	na	JAMSHK010000032.1	=	NZ_JAMSHK010000032.1	Primary Assembly	34693	na
33_length_34167_depth_1.06x	unplaced-scaffold	na	na	JAMSHK010000033.1	=	NZ_JAMSHK010000033.1	Primary Assembly	34167	na
34_length_33607_depth_1.04x	unplaced-scaffold	na	na	JAMSHK010000034.1	=	NZ_JAMSHK010000034.1	Primary Assembly	33607	na
35_length_29238_depth_0.90x	unplaced-scaffold	na	na	JAMSHK010000035.1	=	NZ_JAMSHK010000035.1	Primary Assembly	29238	na
36_length_28060_depth_0.97x	unplaced-scaffold	na	na	JAMSHK010000036.1	=	NZ_JAMSHK010000036.1	Primary Assembly	28060	na
37_length_27139_depth_0.95x	unplaced-scaffold	na	na	JAMSHK010000037.1	=	NZ_JAMSHK010000037.1	Primary Assembly	27139	na
