# Assembly name:  ASM2131165v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C5S5_CKBHOS10
# Taxid:          562
# BioSample:      SAMN20931196
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-12-28
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAJPGO01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_021311655.1
# RefSeq assembly accession: GCF_021311655.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_021311675.1	GCF_021311675.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C5_scaffold_127	assembled-molecule	pIncFIA	Plasmid	JAJPGO010000128.1	=	NZ_JAJPGO010000128.1	Primary Assembly	15811	na
BCSIR_EC_C5_scaffold_185	assembled-molecule	pCol156	Plasmid	JAJPGO010000186.1	=	NZ_JAJPGO010000186.1	Primary Assembly	11035	na
BCSIR_EC_C5_scaffold_174	assembled-molecule	pIncFIB_AP001918	Plasmid	JAJPGO010000175.1	=	NZ_JAJPGO010000175.1	Primary Assembly	11178	na
BCSIR_EC_C5_scaffold_0	unplaced-scaffold	na	na	JAJPGO010000001.1	=	NZ_JAJPGO010000001.1	Primary Assembly	369	na
BCSIR_EC_C5_scaffold_1	unplaced-scaffold	na	na	JAJPGO010000002.1	=	NZ_JAJPGO010000002.1	Primary Assembly	274	na
BCSIR_EC_C5_scaffold_10	unplaced-scaffold	na	na	JAJPGO010000011.1	=	NZ_JAJPGO010000011.1	Primary Assembly	253	na
BCSIR_EC_C5_scaffold_100	unplaced-scaffold	na	na	JAJPGO010000101.1	=	NZ_JAJPGO010000101.1	Primary Assembly	1329	na
BCSIR_EC_C5_scaffold_101	unplaced-scaffold	na	na	JAJPGO010000102.1	=	NZ_JAJPGO010000102.1	Primary Assembly	413	na
BCSIR_EC_C5_scaffold_102	unplaced-scaffold	na	na	JAJPGO010000103.1	=	NZ_JAJPGO010000103.1	Primary Assembly	14726	na
BCSIR_EC_C5_scaffold_103	unplaced-scaffold	na	na	JAJPGO010000104.1	=	NZ_JAJPGO010000104.1	Primary Assembly	20003	na
BCSIR_EC_C5_scaffold_104	unplaced-scaffold	na	na	JAJPGO010000105.1	=	NZ_JAJPGO010000105.1	Primary Assembly	277	na
BCSIR_EC_C5_scaffold_105	unplaced-scaffold	na	na	JAJPGO010000106.1	=	NZ_JAJPGO010000106.1	Primary Assembly	4025	na
BCSIR_EC_C5_scaffold_106	unplaced-scaffold	na	na	JAJPGO010000107.1	=	NZ_JAJPGO010000107.1	Primary Assembly	17484	na
BCSIR_EC_C5_scaffold_107	unplaced-scaffold	na	na	JAJPGO010000108.1	=	NZ_JAJPGO010000108.1	Primary Assembly	32093	na
BCSIR_EC_C5_scaffold_108	unplaced-scaffold	na	na	JAJPGO010000109.1	=	NZ_JAJPGO010000109.1	Primary Assembly	24889	na
BCSIR_EC_C5_scaffold_109	unplaced-scaffold	na	na	JAJPGO010000110.1	=	NZ_JAJPGO010000110.1	Primary Assembly	47284	na
BCSIR_EC_C5_scaffold_11	unplaced-scaffold	na	na	JAJPGO010000012.1	=	NZ_JAJPGO010000012.1	Primary Assembly	4395	na
BCSIR_EC_C5_scaffold_110	unplaced-scaffold	na	na	JAJPGO010000111.1	=	NZ_JAJPGO010000111.1	Primary Assembly	30274	na
BCSIR_EC_C5_scaffold_111	unplaced-scaffold	na	na	JAJPGO010000112.1	=	NZ_JAJPGO010000112.1	Primary Assembly	32990	na
BCSIR_EC_C5_scaffold_112	unplaced-scaffold	na	na	JAJPGO010000113.1	=	NZ_JAJPGO010000113.1	Primary Assembly	1055	na
BCSIR_EC_C5_scaffold_113	unplaced-scaffold	na	na	JAJPGO010000114.1	=	NZ_JAJPGO010000114.1	Primary Assembly	1667	na
BCSIR_EC_C5_scaffold_114	unplaced-scaffold	na	na	JAJPGO010000115.1	=	NZ_JAJPGO010000115.1	Primary Assembly	11192	na
BCSIR_EC_C5_scaffold_115	unplaced-scaffold	na	na	JAJPGO010000116.1	=	NZ_JAJPGO010000116.1	Primary Assembly	5613	na
BCSIR_EC_C5_scaffold_116	unplaced-scaffold	na	na	JAJPGO010000117.1	=	NZ_JAJPGO010000117.1	Primary Assembly	21762	na
BCSIR_EC_C5_scaffold_117	unplaced-scaffold	na	na	JAJPGO010000118.1	=	NZ_JAJPGO010000118.1	Primary Assembly	999	na
BCSIR_EC_C5_scaffold_118	unplaced-scaffold	na	na	JAJPGO010000119.1	=	NZ_JAJPGO010000119.1	Primary Assembly	10270	na
BCSIR_EC_C5_scaffold_119	unplaced-scaffold	na	na	JAJPGO010000120.1	=	NZ_JAJPGO010000120.1	Primary Assembly	38224	na
BCSIR_EC_C5_scaffold_12	unplaced-scaffold	na	na	JAJPGO010000013.1	=	NZ_JAJPGO010000013.1	Primary Assembly	582	na
BCSIR_EC_C5_scaffold_120	unplaced-scaffold	na	na	JAJPGO010000121.1	=	NZ_JAJPGO010000121.1	Primary Assembly	330	na
BCSIR_EC_C5_scaffold_121	unplaced-scaffold	na	na	JAJPGO010000122.1	=	NZ_JAJPGO010000122.1	Primary Assembly	357	na
BCSIR_EC_C5_scaffold_122	unplaced-scaffold	na	na	JAJPGO010000123.1	=	NZ_JAJPGO010000123.1	Primary Assembly	9106	na
BCSIR_EC_C5_scaffold_123	unplaced-scaffold	na	na	JAJPGO010000124.1	=	NZ_JAJPGO010000124.1	Primary Assembly	335	na
BCSIR_EC_C5_scaffold_124	unplaced-scaffold	na	na	JAJPGO010000125.1	=	NZ_JAJPGO010000125.1	Primary Assembly	395	na
BCSIR_EC_C5_scaffold_125	unplaced-scaffold	na	na	JAJPGO010000126.1	=	NZ_JAJPGO010000126.1	Primary Assembly	41469	na
BCSIR_EC_C5_scaffold_126	unplaced-scaffold	na	na	JAJPGO010000127.1	=	NZ_JAJPGO010000127.1	Primary Assembly	642	na
BCSIR_EC_C5_scaffold_128	unplaced-scaffold	na	na	JAJPGO010000129.1	=	NZ_JAJPGO010000129.1	Primary Assembly	48289	na
BCSIR_EC_C5_scaffold_129	unplaced-scaffold	na	na	JAJPGO010000130.1	=	NZ_JAJPGO010000130.1	Primary Assembly	27963	na
BCSIR_EC_C5_scaffold_13	unplaced-scaffold	na	na	JAJPGO010000014.1	=	NZ_JAJPGO010000014.1	Primary Assembly	404	na
BCSIR_EC_C5_scaffold_130	unplaced-scaffold	na	na	JAJPGO010000131.1	=	NZ_JAJPGO010000131.1	Primary Assembly	1254	na
BCSIR_EC_C5_scaffold_131	unplaced-scaffold	na	na	JAJPGO010000132.1	=	NZ_JAJPGO010000132.1	Primary Assembly	395	na
BCSIR_EC_C5_scaffold_132	unplaced-scaffold	na	na	JAJPGO010000133.1	=	NZ_JAJPGO010000133.1	Primary Assembly	2215	na
BCSIR_EC_C5_scaffold_133	unplaced-scaffold	na	na	JAJPGO010000134.1	=	NZ_JAJPGO010000134.1	Primary Assembly	62210	na
BCSIR_EC_C5_scaffold_134	unplaced-scaffold	na	na	JAJPGO010000135.1	=	NZ_JAJPGO010000135.1	Primary Assembly	433	na
BCSIR_EC_C5_scaffold_135	unplaced-scaffold	na	na	JAJPGO010000136.1	=	NZ_JAJPGO010000136.1	Primary Assembly	318	na
BCSIR_EC_C5_scaffold_136	unplaced-scaffold	na	na	JAJPGO010000137.1	=	NZ_JAJPGO010000137.1	Primary Assembly	401	na
BCSIR_EC_C5_scaffold_137	unplaced-scaffold	na	na	JAJPGO010000138.1	=	NZ_JAJPGO010000138.1	Primary Assembly	255	na
BCSIR_EC_C5_scaffold_138	unplaced-scaffold	na	na	JAJPGO010000139.1	=	NZ_JAJPGO010000139.1	Primary Assembly	29369	na
BCSIR_EC_C5_scaffold_139	unplaced-scaffold	na	na	JAJPGO010000140.1	=	NZ_JAJPGO010000140.1	Primary Assembly	50962	na
BCSIR_EC_C5_scaffold_14	unplaced-scaffold	na	na	JAJPGO010000015.1	=	NZ_JAJPGO010000015.1	Primary Assembly	549	na
BCSIR_EC_C5_scaffold_140	unplaced-scaffold	na	na	JAJPGO010000141.1	=	NZ_JAJPGO010000141.1	Primary Assembly	2808	na
BCSIR_EC_C5_scaffold_141	unplaced-scaffold	na	na	JAJPGO010000142.1	=	NZ_JAJPGO010000142.1	Primary Assembly	365	na
BCSIR_EC_C5_scaffold_142	unplaced-scaffold	na	na	JAJPGO010000143.1	=	NZ_JAJPGO010000143.1	Primary Assembly	3451	na
BCSIR_EC_C5_scaffold_143	unplaced-scaffold	na	na	JAJPGO010000144.1	=	NZ_JAJPGO010000144.1	Primary Assembly	60856	na
BCSIR_EC_C5_scaffold_144	unplaced-scaffold	na	na	JAJPGO010000145.1	=	NZ_JAJPGO010000145.1	Primary Assembly	555	na
BCSIR_EC_C5_scaffold_145	unplaced-scaffold	na	na	JAJPGO010000146.1	=	NZ_JAJPGO010000146.1	Primary Assembly	359	na
