# Assembly Statistics Report
# Assembly name:  ASM2365748v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C10S10_CMC16
# Taxid:          562
# BioSample:      SAMN20931200
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAIZPN01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_023657485.1
# RefSeq assembly accession: GCF_023657485.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023657495.1	GCF_023657495.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	4912031
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	219
all	all	all	all	scaffold-N50	116506
all	all	all	all	scaffold-L50	14
all	all	all	all	scaffold-N75	61028
all	all	all	all	scaffold-N90	26203
all	all	all	all	contig-count	219
all	all	all	all	contig-N50	116506
all	all	all	all	contig-L50	14
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	4
all	all	all	all	top-level-count	219
all	all	all	all	component-count	219
all	all	all	all	gc-perc	50.5
Primary Assembly	all	all	all	total-length	4912031
Primary Assembly	all	all	all	ungapped-length	4912031
Primary Assembly	all	all	all	scaffold-count	219
Primary Assembly	all	all	all	scaffold-N50	116506
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	50.5
Primary Assembly	all	all	assembled-molecule	total-length	37360
Primary Assembly	all	all	assembled-molecule	ungapped-length	37360
Primary Assembly	all	all	assembled-molecule	scaffold-count	3
Primary Assembly	all	all	assembled-molecule	scaffold-N50	11197
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	48.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	5608
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	5608
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	2
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	4021
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	47
Primary Assembly	na	na	unplaced-scaffold	total-length	4869063
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	4869063
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	214
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	116506
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50.5
Primary Assembly	pIncFIA	Plasmid	all	total-length	15811
