# Assembly name:  ASM2365748v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C10S10_CMC16
# Taxid:          562
# BioSample:      SAMN20931200
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAIZPN01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_023657485.1
# RefSeq assembly accession: GCF_023657485.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023657495.1	GCF_023657495.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C10_scaffold_134	assembled-molecule	pIncFIA	Plasmid	JAIZPN010000135.1	=	NZ_JAIZPN010000135.1	Primary Assembly	15811	na
BCSIR_EC_C10_scaffold_128	assembled-molecule	pCol156	Plasmid	JAIZPN010000129.1	=	NZ_JAIZPN010000129.1	Primary Assembly	10352	na
BCSIR_EC_C10_scaffold_115	assembled-molecule	pIncFIB_AP001918	Plasmid	JAIZPN010000116.1	=	NZ_JAIZPN010000116.1	Primary Assembly	11197	na
BCSIR_EC_C10_scaffold_16	unlocalized-scaffold	pIncFII	Plasmid	JAIZPN010000017.1	=	NZ_JAIZPN010000017.1	Primary Assembly	1587	na
BCSIR_EC_C10_scaffold_85	unlocalized-scaffold	pIncFII	Plasmid	JAIZPN010000086.1	=	NZ_JAIZPN010000086.1	Primary Assembly	4021	na
BCSIR_EC_C10_scaffold_0	unplaced-scaffold	na	na	JAIZPN010000001.1	=	NZ_JAIZPN010000001.1	Primary Assembly	367	na
BCSIR_EC_C10_scaffold_1	unplaced-scaffold	na	na	JAIZPN010000002.1	=	NZ_JAIZPN010000002.1	Primary Assembly	1395	na
BCSIR_EC_C10_scaffold_2	unplaced-scaffold	na	na	JAIZPN010000003.1	=	NZ_JAIZPN010000003.1	Primary Assembly	2262	na
BCSIR_EC_C10_scaffold_3	unplaced-scaffold	na	na	JAIZPN010000004.1	=	NZ_JAIZPN010000004.1	Primary Assembly	344	na
BCSIR_EC_C10_scaffold_4	unplaced-scaffold	na	na	JAIZPN010000005.1	=	NZ_JAIZPN010000005.1	Primary Assembly	234	na
BCSIR_EC_C10_scaffold_5	unplaced-scaffold	na	na	JAIZPN010000006.1	=	NZ_JAIZPN010000006.1	Primary Assembly	1120	na
BCSIR_EC_C10_scaffold_6	unplaced-scaffold	na	na	JAIZPN010000007.1	=	NZ_JAIZPN010000007.1	Primary Assembly	450	na
BCSIR_EC_C10_scaffold_7	unplaced-scaffold	na	na	JAIZPN010000008.1	=	NZ_JAIZPN010000008.1	Primary Assembly	470	na
BCSIR_EC_C10_scaffold_8	unplaced-scaffold	na	na	JAIZPN010000009.1	=	NZ_JAIZPN010000009.1	Primary Assembly	1108	na
BCSIR_EC_C10_scaffold_9	unplaced-scaffold	na	na	JAIZPN010000010.1	=	NZ_JAIZPN010000010.1	Primary Assembly	1213	na
BCSIR_EC_C10_scaffold_10	unplaced-scaffold	na	na	JAIZPN010000011.1	=	NZ_JAIZPN010000011.1	Primary Assembly	2199	na
BCSIR_EC_C10_scaffold_11	unplaced-scaffold	na	na	JAIZPN010000012.1	=	NZ_JAIZPN010000012.1	Primary Assembly	239	na
BCSIR_EC_C10_scaffold_12	unplaced-scaffold	na	na	JAIZPN010000013.1	=	NZ_JAIZPN010000013.1	Primary Assembly	391	na
BCSIR_EC_C10_scaffold_13	unplaced-scaffold	na	na	JAIZPN010000014.1	=	NZ_JAIZPN010000014.1	Primary Assembly	1226	na
BCSIR_EC_C10_scaffold_14	unplaced-scaffold	na	na	JAIZPN010000015.1	=	NZ_JAIZPN010000015.1	Primary Assembly	1145	na
BCSIR_EC_C10_scaffold_15	unplaced-scaffold	na	na	JAIZPN010000016.1	=	NZ_JAIZPN010000016.1	Primary Assembly	749	na
BCSIR_EC_C10_scaffold_17	unplaced-scaffold	na	na	JAIZPN010000018.1	=	NZ_JAIZPN010000018.1	Primary Assembly	384	na
BCSIR_EC_C10_scaffold_18	unplaced-scaffold	na	na	JAIZPN010000019.1	=	NZ_JAIZPN010000019.1	Primary Assembly	324	na
BCSIR_EC_C10_scaffold_19	unplaced-scaffold	na	na	JAIZPN010000020.1	=	NZ_JAIZPN010000020.1	Primary Assembly	390	na
BCSIR_EC_C10_scaffold_20	unplaced-scaffold	na	na	JAIZPN010000021.1	=	NZ_JAIZPN010000021.1	Primary Assembly	5088	na
BCSIR_EC_C10_scaffold_21	unplaced-scaffold	na	na	JAIZPN010000022.1	=	NZ_JAIZPN010000022.1	Primary Assembly	278	na
BCSIR_EC_C10_scaffold_22	unplaced-scaffold	na	na	JAIZPN010000023.1	=	NZ_JAIZPN010000023.1	Primary Assembly	301	na
BCSIR_EC_C10_scaffold_23	unplaced-scaffold	na	na	JAIZPN010000024.1	=	NZ_JAIZPN010000024.1	Primary Assembly	736	na
BCSIR_EC_C10_scaffold_24	unplaced-scaffold	na	na	JAIZPN010000025.1	=	NZ_JAIZPN010000025.1	Primary Assembly	365	na
BCSIR_EC_C10_scaffold_25	unplaced-scaffold	na	na	JAIZPN010000026.1	=	NZ_JAIZPN010000026.1	Primary Assembly	516	na
BCSIR_EC_C10_scaffold_26	unplaced-scaffold	na	na	JAIZPN010000027.1	=	NZ_JAIZPN010000027.1	Primary Assembly	331	na
BCSIR_EC_C10_scaffold_27	unplaced-scaffold	na	na	JAIZPN010000028.1	=	NZ_JAIZPN010000028.1	Primary Assembly	253	na
BCSIR_EC_C10_scaffold_28	unplaced-scaffold	na	na	JAIZPN010000029.1	=	NZ_JAIZPN010000029.1	Primary Assembly	3422	na
BCSIR_EC_C10_scaffold_29	unplaced-scaffold	na	na	JAIZPN010000030.1	=	NZ_JAIZPN010000030.1	Primary Assembly	282	na
