# Assembly name:  ASM2131166v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C2S2_CB6
# Taxid:          562
# BioSample:      SAMN20931194
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-12-28
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAJPGM01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_021311665.1
# RefSeq assembly accession: GCF_021311665.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_021311685.1	GCF_021311685.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C2_scaffold_319	assembled-molecule	p0111	Plasmid	JAJPGM010000320.1	=	NZ_JAJPGM010000320.1	Primary Assembly	12417	na
BCSIR_EC_C2_scaffold_0	unplaced-scaffold	na	na	JAJPGM010000001.1	=	NZ_JAJPGM010000001.1	Primary Assembly	200	na
BCSIR_EC_C2_scaffold_1	unplaced-scaffold	na	na	JAJPGM010000002.1	=	NZ_JAJPGM010000002.1	Primary Assembly	438	na
BCSIR_EC_C2_scaffold_10	unplaced-scaffold	na	na	JAJPGM010000011.1	=	NZ_JAJPGM010000011.1	Primary Assembly	670	na
BCSIR_EC_C2_scaffold_100	unplaced-scaffold	na	na	JAJPGM010000101.1	=	NZ_JAJPGM010000101.1	Primary Assembly	292	na
BCSIR_EC_C2_scaffold_101	unplaced-scaffold	na	na	JAJPGM010000102.1	=	NZ_JAJPGM010000102.1	Primary Assembly	355	na
BCSIR_EC_C2_scaffold_102	unplaced-scaffold	na	na	JAJPGM010000103.1	=	NZ_JAJPGM010000103.1	Primary Assembly	636	na
BCSIR_EC_C2_scaffold_103	unplaced-scaffold	na	na	JAJPGM010000104.1	=	NZ_JAJPGM010000104.1	Primary Assembly	257	na
BCSIR_EC_C2_scaffold_104	unplaced-scaffold	na	na	JAJPGM010000105.1	=	NZ_JAJPGM010000105.1	Primary Assembly	377	na
BCSIR_EC_C2_scaffold_105	unplaced-scaffold	na	na	JAJPGM010000106.1	=	NZ_JAJPGM010000106.1	Primary Assembly	319	na
BCSIR_EC_C2_scaffold_106	unplaced-scaffold	na	na	JAJPGM010000107.1	=	NZ_JAJPGM010000107.1	Primary Assembly	593	na
BCSIR_EC_C2_scaffold_107	unplaced-scaffold	na	na	JAJPGM010000108.1	=	NZ_JAJPGM010000108.1	Primary Assembly	2525	na
BCSIR_EC_C2_scaffold_108	unplaced-scaffold	na	na	JAJPGM010000109.1	=	NZ_JAJPGM010000109.1	Primary Assembly	582	na
BCSIR_EC_C2_scaffold_109	unplaced-scaffold	na	na	JAJPGM010000110.1	=	NZ_JAJPGM010000110.1	Primary Assembly	698	na
BCSIR_EC_C2_scaffold_11	unplaced-scaffold	na	na	JAJPGM010000012.1	=	NZ_JAJPGM010000012.1	Primary Assembly	330	na
BCSIR_EC_C2_scaffold_110	unplaced-scaffold	na	na	JAJPGM010000111.1	=	NZ_JAJPGM010000111.1	Primary Assembly	395	na
BCSIR_EC_C2_scaffold_111	unplaced-scaffold	na	na	JAJPGM010000112.1	=	NZ_JAJPGM010000112.1	Primary Assembly	313	na
BCSIR_EC_C2_scaffold_112	unplaced-scaffold	na	na	JAJPGM010000113.1	=	NZ_JAJPGM010000113.1	Primary Assembly	345	na
