# Assembly name:  ASM2022361v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C6S6_CB1
# Taxid:          562
# BioSample:      SAMN20931197
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-04
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAIOUT01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_020223615.1
# RefSeq assembly accession: GCF_020223615.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020223645.1	GCF_020223645.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_45	assembled-molecule	pIncFIB	Plasmid	JAIOUT010000046.1	=	NZ_JAIOUT010000046.1	Primary Assembly	6255	na
scaffold_10	assembled-molecule	pIncN	Plasmid	JAIOUT010000011.1	=	NZ_JAIOUT010000011.1	Primary Assembly	3195	na
scaffold_0	unplaced-scaffold	na	na	JAIOUT010000001.1	=	NZ_JAIOUT010000001.1	Primary Assembly	2536	na
scaffold_1	unplaced-scaffold	na	na	JAIOUT010000002.1	=	NZ_JAIOUT010000002.1	Primary Assembly	205	na
scaffold_100	unplaced-scaffold	na	na	JAIOUT010000101.1	=	NZ_JAIOUT010000101.1	Primary Assembly	6304	na
scaffold_101	unplaced-scaffold	na	na	JAIOUT010000102.1	=	NZ_JAIOUT010000102.1	Primary Assembly	9261	na
scaffold_102	unplaced-scaffold	na	na	JAIOUT010000103.1	=	NZ_JAIOUT010000103.1	Primary Assembly	84992	na
scaffold_103	unplaced-scaffold	na	na	JAIOUT010000104.1	=	NZ_JAIOUT010000104.1	Primary Assembly	3349	na
scaffold_104	unplaced-scaffold	na	na	JAIOUT010000105.1	=	NZ_JAIOUT010000105.1	Primary Assembly	74235	na
scaffold_105	unplaced-scaffold	na	na	JAIOUT010000106.1	=	NZ_JAIOUT010000106.1	Primary Assembly	282	na
