# Assembly Statistics Report
# Assembly name:  ASM2041835v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C14S14_CMC5
# Taxid:          562
# BioSample:      SAMN20931202
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAIZPP01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_020418355.1
# RefSeq assembly accession: GCF_020418355.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020418375.1	GCF_020418375.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	4972986
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	186
all	all	all	all	contig-N50	143576
all	all	all	all	contig-L50	11
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	186
all	all	all	all	component-count	186
all	all	all	all	gc-perc	50.5
Primary Assembly	all	all	all	total-length	4972986
Primary Assembly	all	all	all	ungapped-length	4972986
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	50.5
Primary Assembly	all	all	assembled-molecule	total-length	92183
Primary Assembly	all	all	assembled-molecule	ungapped-length	92183
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	47.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	4880803
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	4880803
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50.5
Primary Assembly	pIncFIA	Plasmid	all	total-length	20561
Primary Assembly	pIncFIA	Plasmid	all	ungapped-length	20561
Primary Assembly	pIncFIA	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	all	gc-perc	49
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	total-length	20561
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	ungapped-length	20561
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	assembled-molecule	gc-perc	49
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFIA	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncFII	Plasmid	all	total-length	11356
Primary Assembly	pIncFII	Plasmid	all	ungapped-length	11356
Primary Assembly	pIncFII	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFII	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFII	Plasmid	all	gc-perc	46.5
Primary Assembly	pIncFII	Plasmid	assembled-molecule	total-length	11356
Primary Assembly	pIncFII	Plasmid	assembled-molecule	ungapped-length	11356
Primary Assembly	pIncFII	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFII	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFII	Plasmid	assembled-molecule	gc-perc	46.5
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFII	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncQ1	Plasmid	all	total-length	4662
Primary Assembly	pIncQ1	Plasmid	all	ungapped-length	4662
