# Assembly name:  ASM2041838v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C13S13_CMC8
# Taxid:          562
# BioSample:      SAMN20931201
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAIZPO01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_020418385.1
# RefSeq assembly accession: GCF_020418385.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020418395.1	GCF_020418395.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C13_scaffold_94	assembled-molecule	pIncFIA	Plasmid	JAIZPO010000095.1	=	NZ_JAIZPO010000095.1	Primary Assembly	43737	na
BCSIR_EC_C13_scaffold_86	assembled-molecule	pIncFII-Yp	Plasmid	JAIZPO010000087.1	=	NZ_JAIZPO010000087.1	Primary Assembly	63090	na
BCSIR_EC_C13_scaffold_101	assembled-molecule	pIncI1-I-Alpha	Plasmid	JAIZPO010000102.1	=	NZ_JAIZPO010000102.1	Primary Assembly	61099	na
BCSIR_EC_C13_scaffold_0	unplaced-scaffold	na	na	JAIZPO010000001.1	=	NZ_JAIZPO010000001.1	Primary Assembly	1310	na
BCSIR_EC_C13_scaffold_1	unplaced-scaffold	na	na	JAIZPO010000002.1	=	NZ_JAIZPO010000002.1	Primary Assembly	311	na
BCSIR_EC_C13_scaffold_10	unplaced-scaffold	na	na	JAIZPO010000011.1	=	NZ_JAIZPO010000011.1	Primary Assembly	3136	na
BCSIR_EC_C13_scaffold_100	unplaced-scaffold	na	na	JAIZPO010000101.1	=	NZ_JAIZPO010000101.1	Primary Assembly	89309	na
BCSIR_EC_C13_scaffold_102	unplaced-scaffold	na	na	JAIZPO010000103.1	=	NZ_JAIZPO010000103.1	Primary Assembly	135450	na
BCSIR_EC_C13_scaffold_103	unplaced-scaffold	na	na	JAIZPO010000104.1	=	NZ_JAIZPO010000104.1	Primary Assembly	260	na
BCSIR_EC_C13_scaffold_104	unplaced-scaffold	na	na	JAIZPO010000105.1	=	NZ_JAIZPO010000105.1	Primary Assembly	253	na
BCSIR_EC_C13_scaffold_105	unplaced-scaffold	na	na	JAIZPO010000106.1	=	NZ_JAIZPO010000106.1	Primary Assembly	392126	na
BCSIR_EC_C13_scaffold_106	unplaced-scaffold	na	na	JAIZPO010000107.1	=	NZ_JAIZPO010000107.1	Primary Assembly	404180	na
BCSIR_EC_C13_scaffold_107	unplaced-scaffold	na	na	JAIZPO010000108.1	=	NZ_JAIZPO010000108.1	Primary Assembly	236053	na
BCSIR_EC_C13_scaffold_108	unplaced-scaffold	na	na	JAIZPO010000109.1	=	NZ_JAIZPO010000109.1	Primary Assembly	26344	na
BCSIR_EC_C13_scaffold_109	unplaced-scaffold	na	na	JAIZPO010000110.1	=	NZ_JAIZPO010000110.1	Primary Assembly	70985	na
BCSIR_EC_C13_scaffold_11	unplaced-scaffold	na	na	JAIZPO010000012.1	=	NZ_JAIZPO010000012.1	Primary Assembly	393	na
BCSIR_EC_C13_scaffold_110	unplaced-scaffold	na	na	JAIZPO010000111.1	=	NZ_JAIZPO010000111.1	Primary Assembly	158078	na
BCSIR_EC_C13_scaffold_111	unplaced-scaffold	na	na	JAIZPO010000112.1	=	NZ_JAIZPO010000112.1	Primary Assembly	708430	na
BCSIR_EC_C13_scaffold_112	unplaced-scaffold	na	na	JAIZPO010000113.1	=	NZ_JAIZPO010000113.1	Primary Assembly	294	na
BCSIR_EC_C13_scaffold_113	unplaced-scaffold	na	na	JAIZPO010000114.1	=	NZ_JAIZPO010000114.1	Primary Assembly	173862	na
BCSIR_EC_C13_scaffold_114	unplaced-scaffold	na	na	JAIZPO010000115.1	=	NZ_JAIZPO010000115.1	Primary Assembly	215232	na
BCSIR_EC_C13_scaffold_12	unplaced-scaffold	na	na	JAIZPO010000013.1	=	NZ_JAIZPO010000013.1	Primary Assembly	219	na
BCSIR_EC_C13_scaffold_13	unplaced-scaffold	na	na	JAIZPO010000014.1	=	NZ_JAIZPO010000014.1	Primary Assembly	1028	na
BCSIR_EC_C13_scaffold_14	unplaced-scaffold	na	na	JAIZPO010000015.1	=	NZ_JAIZPO010000015.1	Primary Assembly	1828	na
BCSIR_EC_C13_scaffold_15	unplaced-scaffold	na	na	JAIZPO010000016.1	=	NZ_JAIZPO010000016.1	Primary Assembly	232	na
BCSIR_EC_C13_scaffold_16	unplaced-scaffold	na	na	JAIZPO010000017.1	=	NZ_JAIZPO010000017.1	Primary Assembly	1147	na
BCSIR_EC_C13_scaffold_17	unplaced-scaffold	na	na	JAIZPO010000018.1	=	NZ_JAIZPO010000018.1	Primary Assembly	4503	na
BCSIR_EC_C13_scaffold_18	unplaced-scaffold	na	na	JAIZPO010000019.1	=	NZ_JAIZPO010000019.1	Primary Assembly	303	na
BCSIR_EC_C13_scaffold_19	unplaced-scaffold	na	na	JAIZPO010000020.1	=	NZ_JAIZPO010000020.1	Primary Assembly	3072	na
BCSIR_EC_C13_scaffold_2	unplaced-scaffold	na	na	JAIZPO010000003.1	=	NZ_JAIZPO010000003.1	Primary Assembly	962	na
BCSIR_EC_C13_scaffold_20	unplaced-scaffold	na	na	JAIZPO010000021.1	=	NZ_JAIZPO010000021.1	Primary Assembly	1237	na
BCSIR_EC_C13_scaffold_21	unplaced-scaffold	na	na	JAIZPO010000022.1	=	NZ_JAIZPO010000022.1	Primary Assembly	283	na
