# Assembly name:  ASM2131171v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C7S7_NCKT7
# Taxid:          562
# BioSample:      SAMN20931198
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-12-28
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAJPGP01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_021311715.1
# RefSeq assembly accession: GCF_021311715.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_021311725.1	GCF_021311725.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCSIR_EC_C7_scaffold_114	assembled-molecule	pIncFII	Plasmid	JAJPGP010000115.1	=	NZ_JAJPGP010000115.1	Primary Assembly	23932	na
BCSIR_EC_C7_scaffold_188	assembled-molecule	pIncHI1A	Plasmid	JAJPGP010000189.1	=	NZ_JAJPGP010000189.1	Primary Assembly	10864	na
BCSIR_EC_C7_scaffold_149	assembled-molecule	pIncHI1B_R27	Plasmid	JAJPGP010000150.1	=	NZ_JAJPGP010000150.1	Primary Assembly	21349	na
BCSIR_EC_C7_scaffold_109	unlocalized-scaffold	pCol_IRGK	Plasmid	JAJPGP010000110.1	=	NZ_JAJPGP010000110.1	Primary Assembly	314	na
BCSIR_EC_C7_scaffold_158	unlocalized-scaffold	pCol_IRGK	Plasmid	JAJPGP010000159.1	=	NZ_JAJPGP010000159.1	Primary Assembly	2492	na
BCSIR_EC_C7_scaffold_0	unplaced-scaffold	na	na	JAJPGP010000001.1	=	NZ_JAJPGP010000001.1	Primary Assembly	252	na
BCSIR_EC_C7_scaffold_1	unplaced-scaffold	na	na	JAJPGP010000002.1	=	NZ_JAJPGP010000002.1	Primary Assembly	1708	na
BCSIR_EC_C7_scaffold_10	unplaced-scaffold	na	na	JAJPGP010000011.1	=	NZ_JAJPGP010000011.1	Primary Assembly	289	na
BCSIR_EC_C7_scaffold_100	unplaced-scaffold	na	na	JAJPGP010000101.1	=	NZ_JAJPGP010000101.1	Primary Assembly	321	na
BCSIR_EC_C7_scaffold_101	unplaced-scaffold	na	na	JAJPGP010000102.1	=	NZ_JAJPGP010000102.1	Primary Assembly	21181	na
